Index,Time (ms),Temperature (C),pwm_controller (percent)
00000,000000000,003.75,000.00
00001,000000500,027.25,000.00
00002,000001000,027.25,000.00
00003,000001500,027.50,000.00
00004,000002000,027.50,000.00
00005,000002500,027.25,000.00
00006,000003000,027.25,000.00
00007,000003500,027.25,000.00
00008,000004000,027.25,000.00
00009,000004500,027.25,000.00
00010,000005000,027.25,000.00
00011,000005500,027.25,000.00
00012,000006000,027.25,000.00
00013,000006500,027.25,000.00
00014,000007000,027.25,000.00
00015,000007500,027.00,000.00
00016,000008000,027.00,000.00
00017,000008500,027.25,000.00
00018,000009000,027.25,000.00
00019,000009500,027.00,000.00
00020,000010000,027.00,000.00
00021,000010500,027.00,000.00
00022,000011000,027.50,000.00
00023,000011500,027.50,000.00
00024,000012000,027.25,000.00
00025,000012500,027.25,000.00
00026,000013000,027.25,000.00
00027,000013500,027.25,000.00
00028,000014000,027.25,000.00
00029,000014500,027.25,000.00
00030,000015000,027.25,000.00
00031,000015500,027.25,000.00
00032,000016000,027.25,000.00
00033,000016500,027.25,000.00
00034,000017000,027.00,000.00
00035,000017500,027.00,000.00
00036,000018000,027.00,000.00
00037,000018500,027.00,000.00
00038,000019000,027.00,000.00
00039,000019500,026.75,000.00
00040,000020000,026.75,000.00
00041,000020500,027.00,000.00
00042,000021000,027.00,000.00
00043,000021500,027.00,000.00
00044,000022000,027.00,000.00
00045,000022500,027.00,000.00
00046,000023000,027.00,000.00
00047,000023500,027.00,000.00
00048,000024000,027.00,000.00
00049,000024500,027.00,000.00
00050,000025000,027.00,000.00
00051,000025500,027.00,000.00
00052,000026000,027.00,000.00
00053,000026500,027.25,000.00
00054,000027000,027.25,000.00
00055,000027500,027.25,000.00
00056,000028000,026.75,000.00
00057,000028500,026.75,000.00
00058,000029000,027.00,000.00
00059,000029500,027.00,000.00
00060,000030000,027.00,000.00
00061,000030500,027.25,030.00
00062,000031000,027.25,030.00
00063,000031500,027.00,030.00
00064,000032000,027.00,030.00
00065,000032500,026.25,030.00
00066,000033000,026.25,030.00
00067,000033500,026.25,030.00
00068,000034000,026.75,030.00
00069,000034500,026.75,030.00
00070,000035000,026.50,030.00
00071,000035500,026.50,030.00
00072,000036000,026.50,030.00
00073,000036500,026.25,030.00
00074,000037000,026.25,030.00
00075,000037500,026.00,030.00
00076,000038000,026.00,030.00
00077,000038500,026.00,030.00
00078,000039000,026.50,030.00
00079,000039500,026.50,030.00
00080,000040000,026.00,030.00
00081,000040500,026.00,030.00
00082,000041000,026.50,030.00
00083,000041500,026.50,030.00
00084,000042000,026.50,030.00
00085,000042500,026.25,030.00
00086,000043000,026.25,030.00
00087,000043500,026.75,030.00
00088,000044000,026.75,030.00
00089,000044500,026.75,030.00
00090,000045000,026.50,030.00
00091,000045500,026.50,030.00
00092,000046000,026.75,030.00
00093,000046500,026.75,030.00
00094,000047000,027.25,030.00
00095,000047500,027.25,030.00
00096,000048000,027.25,030.00
00097,000048500,027.00,030.00
00098,000049000,027.00,030.00
00099,000049500,027.50,030.00
00100,000050000,027.50,030.00
00101,000050500,027.50,030.00
00102,000051000,027.50,030.00
00103,000051500,027.50,030.00
00104,000052000,027.50,030.00
00105,000052500,027.50,030.00
00106,000053000,027.50,030.00
00107,000053500,027.25,030.00
00108,000054000,027.25,030.00
00109,000054500,028.00,030.00
00110,000055000,028.00,030.00
00111,000055500,028.00,030.00
00112,000056000,028.00,030.00
00113,000056500,028.00,030.00
00114,000057000,028.00,030.00
00115,000057500,028.00,030.00
