Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00000,000000001,025.25,21.34,000.00,0
00001,000000500,025.25,21.34,000.00,0
00002,000001000,025.50,21.36,000.00,0
00003,000001500,025.50,21.36,000.00,0
00004,000002000,025.25,21.36,000.00,0
00005,000002500,025.75,21.36,000.00,0
00006,000003000,025.75,21.35,000.00,0
00007,000003500,025.75,21.35,000.00,0
00008,000004000,025.50,21.36,000.00,0
00009,000004500,025.25,21.35,000.00,0
00010,000005000,025.50,21.35,000.00,0
00011,000005500,025.50,21.35,000.00,0
00012,000006000,025.50,21.35,000.00,0
00013,000006500,025.50,21.35,000.00,0
00014,000007000,025.50,21.35,000.00,0
00015,000007500,025.50,21.35,000.00,0
00016,000008000,025.50,21.34,000.00,0
00017,000008500,025.50,21.35,000.00,0
00018,000009000,025.50,21.35,000.00,0
00019,000009500,025.50,21.36,000.00,0
00020,000010000,025.50,21.36,000.00,0
00021,000010500,025.50,21.36,000.00,0
00022,000011000,025.50,21.36,000.00,0
00023,000011500,025.50,21.35,000.00,0
00024,000012000,025.50,21.35,000.00,0
00025,000012500,025.25,21.35,000.00,0
00026,000013000,025.25,21.35,000.00,0
00027,000013500,025.50,21.35,000.00,0
00028,000014000,025.50,21.36,000.00,0
00029,000014500,025.00,21.36,000.00,0
00030,000015000,025.00,21.36,000.00,0
00031,000015500,025.00,21.35,000.00,0
00032,000016000,025.50,21.36,000.00,0
00033,000016500,025.50,21.35,000.00,0
00034,000017000,025.50,21.35,000.00,0
00035,000017500,024.75,21.35,000.00,0
00036,000018000,025.25,21.35,000.00,0
00037,000018500,025.00,21.35,000.00,0
00038,000019000,025.00,21.35,000.00,0
00039,000019500,025.00,21.36,000.00,0
00040,000020000,025.25,21.36,100.00,0
00041,000020500,025.25,21.35,100.00,0
00042,000021000,025.25,21.35,100.00,0
00043,000021500,025.00,21.36,100.00,0
00044,000022000,025.25,21.36,100.00,0
00045,000022500,025.25,21.35,100.00,0
00046,000023000,025.25,21.35,100.00,0
00047,000023500,025.75,21.36,100.00,0
00048,000024000,025.50,21.35,100.00,0
00049,000024500,025.50,21.35,100.00,0
00050,000025000,025.00,21.36,100.00,0
00051,000025500,025.50,21.35,100.00,0
00052,000026000,025.75,21.36,100.00,0
00053,000026500,025.75,21.36,100.00,0
00054,000027000,025.50,21.36,100.00,0
00055,000027500,025.50,21.36,100.00,0
00056,000028000,025.25,21.36,100.00,0
