Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00000,000000000,028.75,22.29,100.00,0
00001,000000500,028.75,22.29,064.14,0
00002,000001000,028.75,22.28,064.35,0
00003,000001500,028.75,22.28,064.56,0
00004,000002000,028.25,22.30,086.28,0
00005,000002500,029.00,22.30,034.24,0
00006,000003000,028.75,22.29,075.20,0
00007,000003500,028.75,22.29,065.42,0
00008,000004000,028.75,22.29,065.63,0
00009,000004500,028.50,22.30,076.59,0
00010,000005000,028.75,22.30,056.06,0
00011,000005500,028.75,22.30,066.27,0
00012,000006000,028.75,22.31,066.48,0
00013,000006500,028.25,22.30,088.20,0
00014,000007000,029.00,22.29,036.16,0
00015,000007500,029.00,22.29,066.37,0
00016,000008000,028.50,22.30,088.08,0
00017,000008500,028.50,22.30,068.30,0
00018,000009000,029.00,22.30,047.01,0
00019,000009500,029.00,22.30,067.22,0
00020,000010000,029.00,22.30,067.43,0
00021,000010500,028.50,22.30,089.14,0
00022,000011000,028.75,22.30,058.61,0
00023,000011500,028.75,22.30,068.82,0
00024,000012000,029.00,22.29,058.28,0
00025,000012500,029.00,22.31,068.49,0
00026,000013000,029.00,22.31,068.70,0
00027,000013500,029.00,22.30,068.91,0
00028,000014000,029.25,22.32,058.36,0
00029,000014500,029.00,22.30,079.33,0
00030,000015000,029.00,22.30,069.53,0
00031,000015500,029.25,22.30,058.99,0
00032,000016000,028.75,22.31,090.70,0
00033,000016500,029.25,22.29,049.41,0
00034,000017000,029.25,22.29,069.62,0
00035,000017500,029.00,22.30,080.58,0
00036,000018000,029.25,22.30,060.04,0
00037,000018500,029.50,22.30,059.49,0
00038,000019000,029.50,22.30,069.70,0
00039,000019500,029.50,22.30,069.90,0
00040,000020000,029.25,22.29,080.86,0
00041,000020500,029.75,22.30,049.56,0
00042,000021000,029.75,22.30,069.77,0
00043,000021500,029.75,22.29,069.97,0
00044,000022000,029.50,22.29,080.92,0
00045,000022500,029.75,22.30,060.38,0
00046,000023000,029.75,22.30,070.58,0
00047,000023500,029.75,22.30,070.78,0
00048,000024000,030.25,22.30,049.48,0
00049,000024500,030.50,22.31,058.92,0
00050,000025000,030.50,22.31,069.12,0
00051,000025500,030.25,22.30,080.06,0
00052,000026000,030.75,22.29,048.76,0
00053,000026500,030.00,22.30,100.00,0
00054,000027000,030.00,22.30,071.41,0
00055,000027500,030.25,22.30,060.86,0
00056,000028000,030.25,22.30,071.05,0
00057,000028500,030.25,22.30,071.25,0
00058,000029000,031.00,22.31,039.19,0
00059,000029500,031.25,22.30,058.63,0
00060,000030000,030.75,22.30,090.32,0
00061,000030500,030.75,22.30,070.51,0
00062,000031000,031.75,22.30,027.69,0
00063,000031500,031.75,22.30,067.88,0
00064,000032000,032.00,22.30,057.31,0
00065,000032500,032.00,22.30,067.49,0
00066,000033000,032.00,22.31,067.67,0
00067,000033500,032.25,22.30,057.09,0
00068,000034000,032.25,22.30,067.27,0
00069,000034500,032.25,22.30,067.45,0
00070,000035000,032.75,22.31,046.12,0
00071,000035500,032.25,22.30,087.80,0
00072,000036000,032.25,22.30,067.98,0
00073,000036500,032.25,22.30,068.16,0
00074,000037000,033.00,22.30,036.08,0
00075,000037500,032.50,22.30,087.75,0
00076,000038000,033.25,22.29,035.67,0
00077,000038500,033.25,22.29,065.84,0
00078,000039000,033.00,22.30,076.75,0
00079,000039500,033.75,22.30,034.67,0
00080,000040000,033.50,22.31,075.58,0
00081,000040500,033.50,22.31,065.75,0
00082,000041000,033.75,22.30,055.16,0
00083,000041500,034.50,22.30,033.06,0
00084,000042000,034.25,22.31,073.97,0
00085,000042500,034.25,22.31,064.13,0
00086,000043000,035.00,22.30,032.03,0
00087,000043500,035.00,22.31,062.18,0
00088,000044000,035.25,22.31,051.58,0
00089,000044500,035.25,22.31,061.73,0
00090,000045000,035.25,22.31,061.87,0
00091,000045500,035.75,22.30,040.52,0
00092,000046000,035.75,22.30,060.66,0
00093,000046500,036.00,22.30,050.05,0
00094,000047000,036.50,22.30,038.68,0
00095,000047500,036.50,22.30,058.82,0
00096,000048000,036.50,22.30,058.95,0
00097,000048500,037.00,22.31,037.58,0
00098,000049000,037.25,22.31,046.96,0
00099,000049500,037.50,22.31,046.34,0
00100,000050000,037.50,22.31,056.46,0
00101,000050500,037.75,22.31,045.83,0
00102,000051000,038.25,22.31,034.45,0
00103,000051500,038.00,22.30,065.32,0
00104,000052000,038.00,22.30,055.44,0
00105,000052500,038.50,22.30,034.05,0
00106,000053000,039.00,22.31,032.66,0
00107,000053500,039.50,22.31,031.27,0
00108,000054000,039.50,22.31,051.38,0
00109,000054500,039.50,22.32,051.48,0
