Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00000,000000001,025.25,22.47,100.00,0
00001,000000500,025.25,22.47,074.71,0
00002,000001000,025.00,22.46,085.71,0
00003,000001500,025.50,22.47,054.45,0
00004,000002000,025.50,22.47,074.70,0
00005,000002500,025.25,22.47,085.69,0
00006,000003000,025.00,22.47,086.69,0
00007,000003500,025.25,22.47,066.19,0
00008,000004000,025.25,22.47,076.44,0
00009,000004500,025.25,22.47,076.69,0
00010,000005000,025.50,22.47,066.18,0
00011,000005506,025.25,22.47,087.18,0
00012,000006000,025.25,22.47,077.43,0
00013,000006500,025.00,22.48,088.43,0
00014,000007000,025.50,22.47,057.17,0
00015,000007500,025.50,22.47,077.42,0
00016,000008000,025.50,22.47,077.66,0
00017,000008500,025.50,85.00,077.91,0
00018,000009000,025.00,85.00,099.66,0
00019,000009500,025.75,85.00,047.65,0
00020,000010000,025.75,85.00,077.89,0
00021,000010500,026.00,22.47,067.38,0
00022,000011000,026.00,22.47,077.62,0
00023,000011500,025.75,22.47,088.61,0
00024,000012000,025.75,22.47,078.86,0
00025,000012500,025.75,22.48,079.10,0
00026,000013000,025.75,22.48,079.34,0
00027,000013500,025.50,22.48,090.34,0
00028,000014000,025.50,22.48,080.58,0
00029,000014500,025.75,22.48,070.08,0
00030,000015000,026.25,22.48,058.81,0
00031,000015500,026.00,22.48,089.80,0
00032,000016000,026.00,22.48,080.04,0
00033,000016500,026.00,22.47,080.28,0
00034,000017000,025.75,22.48,091.28,0
00035,000017500,025.75,22.48,081.52,0
00036,000018000,026.00,22.47,071.01,0
00037,000018500,026.25,22.47,070.50,0
00038,000019000,026.50,22.47,069.98,0
00039,000019500,026.50,22.47,080.22,0
00040,000020000,026.50,22.47,080.45,0
00041,000020500,026.25,22.48,091.44,0
00042,000021000,026.50,22.47,070.92,0
00043,000021500,026.50,22.47,081.16,0
00044,000022000,026.75,22.48,070.64,0
00045,000022500,027.25,22.47,059.37,0
00046,000023000,027.25,22.47,079.59,0
00047,000023500,027.25,22.47,079.82,0
00048,000024000,027.25,22.47,080.05,0
00049,000024500,027.25,22.48,080.28,0
00050,000025000,027.25,22.48,080.50,0
00051,000025500,027.25,22.48,080.73,0
00052,000026000,027.50,22.49,070.21,0
00053,000026500,027.25,22.47,091.19,0
00054,000027000,028.00,22.48,049.16,0
00055,000027500,028.00,22.48,079.38,0
00056,000028000,028.00,22.48,079.59,0
00057,000028500,028.25,22.48,069.06,0
00058,000029000,028.50,22.48,068.53,0
00059,000029500,028.50,22.48,078.74,0
00060,000030000,028.25,22.47,089.71,0
00061,000030500,028.25,22.48,079.93,0
00062,000031000,028.75,22.48,058.64,0
00063,000031500,028.75,22.48,078.85,0
00064,000032000,029.25,22.47,057.56,0
00065,000032500,029.50,22.48,067.02,0
00066,000033000,029.50,22.48,077.22,0
00067,000033500,029.50,22.48,077.42,0
00068,000034000,029.75,22.48,066.88,0
00069,000034500,030.00,22.47,066.33,0
00070,000035000,030.00,22.47,076.53,0
00071,000035500,029.75,22.48,087.48,0
00072,000036000,030.50,22.49,045.42,0
00073,000036500,030.25,22.48,086.37,0
00074,000037000,030.25,22.48,076.57,0
00075,000037500,030.75,22.48,055.26,0
00076,000038000,031.00,22.48,064.70,0
00077,000038500,030.75,22.48,085.64,0
00078,000039000,030.75,22.48,075.84,0
00079,000039500,031.00,22.48,065.28,0
00080,000040000,031.75,22.48,043.21,0
00081,000040500,032.00,22.48,062.64,0
00082,000041000,032.00,22.48,072.82,0
00083,000041500,031.75,22.49,083.75,0
00084,000042000,032.75,22.47,030.92,0
00085,000042500,032.50,22.48,081.85,0
00086,000043000,032.50,22.48,072.03,0
00087,000043500,032.75,22.48,061.45,0
00088,000044000,032.75,22.49,071.62,0
00089,000044500,033.50,22.48,039.53,0
00090,000045000,033.50,22.48,069.70,0
00091,000045500,033.50,22.48,069.87,0
00092,000046000,033.75,22.49,059.28,0
00093,000046500,035.00,22.48,015.68,0
00094,000047000,035.00,22.48,065.83,0
00095,000047500,034.75,22.47,076.73,0
00096,000048000,035.50,22.48,034.62,0
00097,000048500,035.25,22.48,075.52,0
00098,000049000,035.25,22.48,065.67,0
00099,000049500,035.75,22.49,044.31,0
00100,000050000,036.00,22.48,053.70,0
00101,000050500,036.00,22.48,063.84,0
00102,000051000,036.50,22.48,042.48,0
00103,000051500,037.00,22.48,041.11,0
00104,000052000,037.00,22.48,061.24,0
00105,000052500,037.00,22.48,061.37,0
00106,000053000,037.00,22.48,061.50,0
00107,000053500,037.50,22.47,040.12,0
00108,000054000,038.25,22.48,027.99,0
00109,000054500,038.25,22.48,058.11,0
00110,000055000,038.25,22.47,058.23,0
00111,000055500,039.00,22.48,026.09,0
00112,000056000,039.25,22.47,045.44,0
00113,000056500,039.25,22.47,055.55,0
00114,000057000,039.25,22.48,055.66,0
00115,000057500,040.25,22.47,012.75,0
00116,000058000,040.75,22.48,031.35,0
00117,000058500,040.75,22.48,051.44,0
00118,000059000,040.50,22.47,062.28,0
00119,000059500,041.00,22.48,030.88,0
00120,000060000,041.50,22.48,029.46,0
00121,000060500,041.50,22.48,049.55,0
00122,000061000,042.25,22.48,017.37,0
00123,000061500,042.25,22.48,047.45,0
00124,000062000,042.50,22.47,036.78,0
00125,000062500,042.50,22.47,046.85,0
00126,000063000,042.75,22.48,036.17,0
00127,000063500,043.00,22.47,035.49,0
00128,000064000,043.75,22.48,013.30,0
00129,000064500,043.75,22.48,043.37,0
00130,000065000,043.50,22.49,054.18,0
00131,000065500,044.50,22.47,001.24,0
00132,000066000,044.50,22.47,041.29,0
00133,000066500,045.00,22.48,019.84,0
00134,000067000,045.25,22.48,029.14,0
00135,000067500,045.75,22.48,017.68,0
00136,000068000,045.75,22.48,037.73,0
00137,000068500,046.00,22.47,027.02,0
00138,000069000,046.25,22.48,026.30,0
00139,000069500,046.75,22.48,014.84,0
00140,000070000,046.75,22.48,034.87,0
00141,000070500,047.00,22.48,024.15,0
00142,000071000,047.25,22.48,023.42,0
00143,000071500,047.50,22.48,022.70,0
00144,000072000,047.50,22.48,032.73,0
00145,000072500,047.75,22.48,022.00,0
00146,000073000,048.25,22.48,010.52,0
00147,000073500,048.50,22.49,019.78,0
00148,000074000,048.50,22.49,029.80,0
00149,000074500,049.00,22.48,008.30,0
00150,000075000,049.75,22.48,000.00,0
00151,000075500,050.00,22.48,015.31,0
00152,000076000,050.00,22.48,025.31,0
00153,000076500,050.25,22.48,014.55,0
00154,000077000,050.50,22.48,013.80,0
00155,000077500,050.50,22.49,023.80,0
00156,000078000,050.50,22.49,023.79,0
00157,000078500,050.75,22.48,013.03,0
00158,000079000,051.00,22.47,012.27,0
00159,000079500,051.75,22.48,000.00,0
00160,000080000,051.75,22.48,019.99,0
00161,000080500,051.50,22.48,030.72,0
00162,000081000,052.50,22.47,000.00,0
00163,000081500,052.25,22.48,028.43,0
00164,000082000,052.25,22.48,018.40,0
00165,000082500,052.75,22.48,000.00,0
00166,000083000,053.25,22.48,000.00,0
00167,000083500,053.25,22.48,015.31,0
00168,000084000,053.25,22.48,015.28,0
00169,000084500,053.75,22.49,000.00,0
00170,000085000,054.00,22.48,002.95,0
00171,000085500,054.00,22.48,012.91,0
00172,000086000,054.25,22.48,002.12,0
00173,000086500,054.50,22.48,001.32,0
00174,000087000,054.50,22.49,011.28,0
00175,000087500,054.50,22.49,011.23,0
00176,000088000,055.00,22.48,000.00,0
00177,000088500,055.50,22.48,000.00,0
00178,000089000,055.50,22.48,008.07,0
00179,000089500,055.50,22.48,008.02,0
00180,000090000,055.75,22.48,000.00,0
00181,000090500,056.75,22.48,000.00,0
00182,000091000,056.75,22.48,004.07,0
00183,000091500,056.75,22.48,004.01,0
00184,000092000,056.50,22.48,014.69,0
00185,000092500,056.75,22.49,000.00,0
00186,000093000,057.50,22.49,000.00,0
00187,000093500,057.50,22.49,001.48,0
00188,000094000,057.75,22.48,000.00,0
00189,000094500,058.00,22.49,000.00,0
00190,000095000,057.75,22.48,010.49,0
00191,000095500,057.75,22.48,000.41,0
00192,000096000,058.25,22.48,000.00,0
00193,000096500,058.25,22.49,000.00,0
00194,000097000,058.75,22.48,000.00,0
00195,000097500,058.75,22.48,000.00,0
00196,000098000,058.75,22.48,000.00,0
00197,000098500,059.25,22.48,000.00,0
00198,000099000,059.25,22.48,000.00,0
00199,000099500,059.50,22.49,000.00,0
00200,000100000,059.50,22.49,000.00,0
00201,000100500,059.50,22.48,000.00,0
00202,000101000,059.50,22.48,000.00,0
00203,000101500,060.00,22.48,000.00,0
00204,000102000,060.50,22.48,000.00,0
00205,000102500,060.50,22.49,000.00,0
00206,000103000,060.50,22.49,000.00,0
00207,000103500,060.25,22.49,001.40,0
00208,000104000,061.25,22.48,000.00,0
00209,000104500,061.00,22.48,000.00,0
00210,000105000,061.00,22.48,000.00,0
00211,000105500,061.25,22.48,000.00,0
00212,000106000,061.00,22.48,000.00,0
00213,000106500,061.50,22.48,000.00,0
00214,000107000,061.50,22.48,000.00,0
00215,000107500,061.50,22.48,000.00,0
00216,000108000,062.25,22.47,000.00,0
00217,000108500,062.50,22.47,000.00,0
00218,000109000,062.50,22.47,000.00,0
00219,000109500,062.50,22.48,000.00,0
00220,000110000,062.75,22.48,000.00,0
00221,000110500,063.00,22.48,000.00,0
00222,000111000,063.00,22.48,000.00,0
00223,000111500,062.50,22.48,002.74,0
00224,000112000,063.25,22.48,000.00,0
00225,000112500,063.00,22.48,000.00,0
00226,000113000,063.00,22.48,000.00,0
00227,000113500,063.50,22.48,000.00,0
00228,000114000,063.75,22.48,000.00,0
00229,000114500,063.75,22.48,000.00,0
00230,000115000,063.75,22.47,000.00,0
00231,000115500,063.75,22.48,000.00,0
00232,000116000,064.00,22.48,000.00,0
00233,000116500,064.00,22.48,000.00,0
00234,000117000,064.00,22.48,000.00,0
00235,000117500,064.00,22.48,000.00,0
00236,000118000,064.25,22.47,000.00,0
00237,000118500,064.25,22.47,000.00,0
00238,000119000,065.00,22.46,000.00,0
00239,000119500,064.75,22.47,000.00,0
00240,000120000,065.00,22.47,000.00,0
00241,000120500,065.00,22.47,000.00,0
00242,000121000,064.75,22.48,000.00,0
00243,000121500,065.00,22.48,000.00,0
00244,000122000,065.50,22.48,000.00,0
00245,000122500,065.50,22.48,000.00,0
00246,000123000,065.50,22.47,000.00,0
00247,000123500,065.75,22.46,000.00,0
00248,000124000,065.50,22.48,000.00,0
00249,000124500,065.50,22.48,000.00,0
00250,000125000,065.75,22.48,000.00,0
00251,000125500,065.75,22.48,000.00,0
00252,000126000,066.25,22.48,000.00,0
00253,000126500,066.25,22.48,000.00,0
00254,000127000,066.00,22.48,000.00,0
00255,000127500,066.25,22.48,000.00,0
00256,000128000,065.75,22.47,000.00,0
00257,000128500,065.75,22.47,000.00,0
00258,000129000,066.50,22.48,000.00,0
00259,000129500,066.50,22.46,000.00,0
00260,000130000,066.75,22.48,000.00,0
00261,000130500,066.75,22.48,000.00,0
00262,000131000,066.50,22.48,000.00,0
00263,000131500,066.75,22.47,000.00,0
00264,000132000,066.75,22.47,000.00,0
00265,000132500,067.00,22.48,000.00,0
00266,000133000,067.25,22.47,000.00,0
00267,000133500,067.00,22.48,000.00,0
00268,000134000,067.00,22.48,000.00,0
00269,000134500,067.00,22.48,000.00,0
00270,000135000,067.25,22.47,000.00,0
00271,000135500,067.25,22.47,000.00,0
00272,000136000,067.25,22.47,000.00,0
00273,000136500,067.50,22.48,000.00,0
00274,000137000,067.50,22.47,000.00,0
00275,000137500,067.50,22.47,000.00,0
00276,000138000,067.50,22.47,000.00,0
00277,000138500,067.75,22.47,000.00,0
00278,000139000,068.00,22.47,000.00,0
00279,000139500,068.00,22.46,000.00,0
00280,000140000,068.00,22.46,000.00,0
00281,000140500,067.75,22.46,000.00,0
00282,000141000,068.25,22.48,000.00,0
00283,000141500,068.00,22.47,000.00,0
00284,000142000,068.00,22.47,000.00,0
00285,000142500,068.00,22.47,000.00,0
00286,000143000,068.25,22.46,000.00,0
00287,000143500,068.25,22.47,000.00,0
00288,000144000,068.25,22.47,000.00,0
00289,000144500,068.50,22.47,000.00,0
00290,000145000,068.50,22.47,000.00,0
00291,000145500,068.50,22.47,000.00,0
00292,000146000,068.50,22.47,000.00,0
00293,000146500,068.50,22.47,000.00,0
00294,000147000,068.75,22.47,000.00,0
00295,000147500,068.75,22.47,000.00,0
00296,000148000,068.75,22.46,000.00,0
00297,000148500,068.75,22.47,000.00,0
00298,000149000,068.75,22.47,000.00,0
00299,000149500,068.75,22.47,000.00,0
00300,000150000,068.75,22.47,000.00,0
00301,000150500,068.75,22.47,000.00,0
00302,000151000,068.75,22.46,000.00,0
00303,000151500,068.75,22.46,000.00,0
00304,000152000,069.00,22.47,000.00,0
00305,000152500,069.25,22.47,000.00,0
00306,000153000,069.50,22.47,000.00,0
00307,000153500,069.50,22.47,000.00,0
00308,000154000,069.25,22.47,000.00,0
00309,000154500,069.25,22.47,000.00,0
00310,000155000,069.50,22.47,000.00,0
00311,000155500,069.50,22.47,000.00,0
00312,000156000,069.25,22.47,000.00,0
00313,000156500,069.50,22.47,000.00,0
00314,000157000,069.75,22.47,000.00,0
00315,000157500,069.75,22.47,000.00,0
00316,000158000,069.50,22.47,000.00,0
00317,000158500,069.25,22.47,000.00,0
00318,000159000,069.75,22.47,000.00,0
00319,000159500,069.75,22.47,000.00,0
00320,000160000,069.50,22.47,000.00,0
00321,000160500,069.75,22.46,000.00,0
00322,000161000,070.50,22.47,000.00,0
00323,000161500,070.50,22.47,000.00,0
00324,000162000,069.75,22.47,000.00,0
00325,000162500,069.50,22.46,000.00,0
00326,000163000,069.50,22.46,000.00,0
00327,000163500,069.50,22.46,000.00,0
00328,000164000,069.25,22.46,000.00,0
00329,000164500,069.75,22.46,000.00,0
00330,000165000,069.75,22.46,000.00,0
00331,000165500,070.00,22.47,000.00,0
00332,000166000,070.25,22.46,000.00,0
00333,000166500,069.75,22.47,000.00,0
00334,000167000,069.75,22.47,000.00,0
