Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000001,023.25,20.80,100.00,0,050.00
00001,000000500,023.25,20.80,080.75,0,050.00
00002,000001000,023.25,20.80,081.02,0,050.00
00003,000001500,023.00,20.80,092.03,0,050.00
00004,000002000,022.75,20.80,093.06,0,050.00
00005,000002500,022.75,20.80,083.33,0,050.00
00006,000003000,022.75,20.80,083.60,0,050.00
00007,000003500,022.75,20.80,083.88,0,050.00
00008,000004000,023.25,20.80,062.64,0,050.00
00009,000004500,023.25,20.80,082.91,0,050.00
00010,000005000,022.75,20.80,100.00,0,050.00
00011,000005500,023.00,20.80,074.20,0,050.00
00012,000006000,023.50,20.81,062.97,0,050.00
00013,000006500,023.50,20.81,083.23,0,050.00
00014,000007000,023.25,20.80,094.25,0,050.00
00015,000007500,023.25,20.80,084.52,0,050.00
00016,000008000,023.25,20.80,084.78,0,050.00
00017,000008500,023.25,20.80,085.05,0,050.00
00018,000009000,023.50,20.80,074.57,0,050.00
00019,000009500,023.50,20.79,084.83,0,050.00
00020,000010000,023.25,20.80,095.85,0,050.00
00021,000010500,023.25,20.80,086.12,0,050.00
00022,000011000,023.25,20.80,086.39,0,050.00
00023,000011500,023.50,20.80,075.90,0,050.00
00024,000012000,023.25,20.81,096.92,0,050.00
00025,000012500,023.25,20.81,087.19,0,050.00
00026,000013000,023.50,20.81,076.70,0,050.00
00027,000013500,023.25,20.80,097.72,0,050.00
00028,000014000,023.25,20.80,087.98,0,050.00
00029,000014500,024.00,20.81,056.00,0,050.00
00030,000015000,023.75,20.80,097.01,0,050.00
00031,000015500,023.50,20.80,098.02,0,050.00
00032,000016000,023.50,20.80,088.29,0,050.00
00033,000016500,024.00,20.80,067.05,0,050.00
00034,000017000,024.00,20.80,087.31,0,050.00
00035,000017500,023.75,20.81,098.32,0,050.00
00036,000018000,023.75,20.81,088.58,0,050.00
00037,000018500,024.50,20.81,056.59,0,050.00
00038,000019000,024.50,20.80,086.84,0,050.00
00039,000019500,024.75,20.80,076.34,0,050.00
00040,000020000,024.75,20.80,086.60,0,050.00
00041,000020500,024.50,20.80,097.60,0,050.00
00042,000021000,024.50,20.81,087.86,0,050.00
00043,000021500,025.00,20.80,066.61,0,050.00
00044,000022000,025.00,20.80,086.86,0,050.00
00045,000022500,025.00,20.81,087.11,0,050.00
00046,000023000,025.00,20.80,087.36,0,050.00
00047,000023500,024.75,20.80,098.36,0,050.00
00048,000024000,024.75,20.80,088.61,0,050.00
00049,000024500,025.50,20.80,056.61,0,050.00
00050,000025000,025.50,20.80,086.85,0,050.00
00051,000025500,025.50,20.80,087.10,0,050.00
00052,000026000,025.50,20.80,087.34,0,050.00
00053,000026500,026.25,20.81,055.33,0,050.00
00054,000027000,025.75,20.80,100.00,0,050.00
00055,000027500,026.00,20.79,076.56,0,050.00
00056,000028000,026.00,20.79,086.80,0,050.00
00057,000028500,026.75,20.80,054.78,0,050.00
00058,000029000,027.00,20.81,074.27,0,050.00
00059,000029500,027.00,20.81,084.50,0,050.00
00060,000030000,027.00,20.81,084.72,0,050.00
00061,000030500,027.50,20.80,063.45,0,050.00
00062,000031000,027.00,20.81,100.00,0,050.00
00063,000031500,027.00,20.81,085.41,0,050.00
00064,000032000,028.00,20.80,042.63,0,050.00
00065,000032500,027.50,20.80,100.00,0,050.00
00066,000033000,028.25,20.80,052.32,0,050.00
00067,000033500,028.25,20.80,082.54,0,050.00
00068,000034000,028.50,20.80,072.00,0,050.00
00069,000034500,028.50,20.81,082.22,0,050.00
00070,000035000,029.00,20.80,060.93,0,050.00
00071,000035500,029.00,20.80,081.14,0,050.00
00072,000036000,029.00,20.80,081.35,0,050.00
00073,000036500,029.00,20.80,081.56,0,050.00
00074,000037000,029.75,20.80,049.51,0,050.00
00075,000037500,029.75,20.80,079.72,0,050.00
00076,000038000,030.00,20.81,069.16,0,050.00
00077,000038500,030.50,20.79,057.86,0,050.00
00078,000039000,030.50,20.80,078.06,0,050.00
00079,000039500,030.50,20.80,078.25,0,050.00
00080,000040000,030.50,20.80,078.44,0,050.00
00081,000040500,031.25,20.80,046.38,0,050.00
00082,000041000,031.50,20.80,065.82,0,050.00
00083,000041500,031.50,20.80,076.00,0,050.00
00084,000042000,032.00,20.80,054.68,0,050.00
00085,000042500,032.50,20.80,053.36,0,050.00
00086,000043000,032.25,20.80,084.28,0,050.00
00087,000043500,032.25,20.80,074.46,0,050.00
00088,000044000,032.75,20.80,053.14,0,050.00
00089,000044500,033.50,20.80,041.05,0,050.00
00090,000045000,033.50,20.80,071.22,0,050.00
00091,000045500,033.75,20.80,060.63,0,050.00
00092,000046000,034.00,20.81,060.04,0,050.00
00093,000046500,034.25,20.80,059.44,0,050.00
00094,000047000,034.25,20.80,069.60,0,050.00
00095,000047500,034.75,20.80,048.25,0,050.00
00096,000048000,035.50,20.79,036.15,0,050.00
00097,000048500,035.25,20.81,077.05,0,050.00
00098,000049000,035.25,20.81,067.19,0,050.00
00099,000049500,035.75,20.81,045.84,0,050.00
00100,000050000,036.25,20.80,044.47,0,050.00
00101,000050500,036.50,20.80,053.86,0,050.00
00102,000051000,036.50,20.80,064.00,0,050.00
00103,000051500,037.00,20.80,042.62,0,050.00
00104,000052000,037.00,20.81,062.75,0,050.00
00105,000052500,037.50,20.80,041.38,0,050.00
00106,000053000,037.50,20.80,061.50,0,050.00
00107,000053500,037.50,20.81,061.63,0,050.00
00108,000054000,038.25,20.81,029.50,0,050.00
00109,000054500,038.25,20.80,059.62,0,050.00
00110,000055000,038.25,20.80,059.73,0,050.00
00111,000055500,039.00,20.80,027.59,0,050.00
00112,000056000,039.50,20.81,036.20,0,050.00
00113,000056500,039.75,20.81,045.55,0,050.00
00114,000057000,039.75,20.81,055.65,0,050.00
00115,000057500,040.25,85.00,034.25,0,050.00
00116,000058000,040.25,20.80,054.35,0,050.00
00117,000058500,040.50,20.81,043.69,0,050.00
00118,000059000,040.50,20.81,053.79,0,050.00
00119,000059500,040.75,20.81,043.13,0,050.00
00120,000060000,041.75,20.80,010.21,0,050.00
00121,000060500,042.00,20.80,039.54,0,050.00
00122,000061000,042.00,20.80,049.62,0,050.00
00123,000061500,042.50,20.81,028.20,0,050.00
00124,000062000,043.00,20.80,026.77,0,050.00
00125,000062500,043.00,20.80,046.84,0,050.00
00126,000063000,043.50,20.81,025.40,0,050.00
00127,000063500,043.75,20.80,034.72,0,050.00
00128,000064000,044.25,20.81,023.27,0,050.00
00129,000064500,044.25,20.81,043.33,0,050.00
00130,000065000,044.50,20.82,032.64,0,050.00
00131,000065500,045.00,20.80,021.19,0,050.00
00132,000066000,045.25,20.81,030.48,0,050.00
00133,000066500,045.25,20.81,040.53,0,050.00
00134,000067000,045.00,20.81,051.33,0,050.00
00135,000067500,045.75,20.81,009.12,0,050.00
00136,000068000,046.50,20.80,006.91,0,050.00
00137,000068500,046.50,20.80,036.94,0,050.00
00138,000069000,046.75,20.81,026.23,0,050.00
00139,000069500,047.00,20.80,025.50,0,050.00
00140,000070000,047.25,20.81,024.78,0,050.00
00141,000070500,047.25,20.81,034.81,0,050.00
00142,000071000,047.75,20.81,013.33,0,050.00
00143,000071500,048.00,20.80,022.60,0,050.00
00144,000072000,048.25,20.81,021.87,0,050.00
00145,000072500,048.25,20.81,031.89,0,050.00
00146,000073000,049.00,20.81,000.00,0,050.00
00147,000073500,048.75,20.81,040.41,0,050.00
00148,000074000,049.00,20.80,019.67,0,050.00
00149,000074500,049.00,20.80,029.68,0,050.00
00150,000075000,049.75,20.81,000.00,0,050.00
00151,000075500,050.00,20.80,016.68,0,050.00
00152,000076000,050.75,20.81,000.00,0,050.00
00153,000076500,050.75,20.81,024.42,0,050.00
00154,000077000,051.00,20.81,013.66,0,050.00
00155,000077500,051.50,20.81,002.14,0,050.00
00156,000078000,051.50,20.81,022.13,0,050.00
00157,000078500,051.75,20.81,011.36,0,050.00
00158,000079000,052.50,20.80,000.00,0,050.00
00159,000079500,052.00,20.81,040.56,0,050.00
00160,000080000,052.00,20.81,020.55,0,050.00
00161,000080500,052.75,20.81,000.00,0,050.00
00162,000081000,053.50,20.81,000.00,0,050.00
00163,000081500,053.50,20.81,015.95,0,050.00
00164,000082000,053.50,20.81,015.91,0,050.00
00165,000082500,053.50,20.81,015.88,0,050.00
00166,000083000,054.00,20.81,000.00,0,050.00
00167,000083500,054.25,20.80,003.55,0,050.00
00168,000084000,054.25,20.80,013.50,0,050.00
00169,000084500,054.50,20.81,002.71,0,050.00
00170,000085000,055.00,20.82,000.00,0,050.00
00171,000085500,055.25,20.81,000.36,0,050.00
00172,000086000,055.25,20.81,010.30,0,050.00
00173,000086500,054.50,20.81,042.51,0,050.00
00174,000087000,055.50,20.81,000.00,0,050.00
00175,000087500,055.50,20.81,009.40,0,050.00
00176,000088000,055.50,20.81,009.34,0,050.00
00177,000088500,056.75,20.81,000.00,0,050.00
00178,000089000,056.25,20.80,026.96,0,050.00
00179,000089500,056.75,20.81,000.00,0,050.00
00180,000090000,056.75,20.81,005.33,0,050.00
00181,000090500,057.00,20.81,000.00,0,050.00
00182,000091000,057.75,20.80,000.00,0,050.00
00183,000091500,058.00,20.81,000.00,0,050.00
00184,000092000,058.00,20.81,001.27,0,050.00
00185,000092500,058.25,20.81,000.00,0,050.00
00186,000093000,058.25,20.81,000.36,0,050.00
00187,000093500,058.25,20.81,000.27,0,050.00
00188,000094000,058.00,20.81,010.94,0,050.00
00189,000094500,058.50,20.81,000.00,0,050.00
00190,000095000,059.00,20.81,000.00,0,050.00
00191,000095500,059.00,20.81,000.00,0,050.00
00192,000096000,059.25,20.81,000.00,0,050.00
00193,000096500,059.50,20.81,000.00,0,050.00
00194,000097000,059.75,20.81,000.00,0,050.00
00195,000097500,059.75,20.81,000.00,0,050.00
00196,000098000,059.75,20.81,000.00,0,050.00
00197,000098500,060.00,20.81,000.00,0,050.00
00198,000099000,060.50,20.81,000.00,0,050.00
00199,000099500,060.50,20.81,000.00,0,050.00
00200,000100000,060.25,20.81,003.04,0,050.00
00201,000100500,060.50,20.82,000.00,0,050.00
00202,000101000,061.25,20.81,000.00,0,050.00
00203,000101500,061.25,20.81,000.00,0,050.00
00204,000102000,061.25,20.82,000.00,0,050.00
00205,000102500,061.25,20.81,000.00,0,050.00
00206,000103000,061.25,20.81,000.00,0,050.00
00207,000103500,061.25,20.81,000.00,0,050.00
00208,000104000,062.00,20.81,000.00,0,050.00
00209,000104500,062.00,20.82,000.00,0,050.00
00210,000105000,061.75,20.82,000.00,0,050.00
00211,000105500,061.75,20.82,000.00,0,050.00
00212,000106000,062.50,20.80,000.00,0,050.00
00213,000106500,062.75,20.81,000.00,0,050.00
00214,000107000,062.50,20.81,000.00,0,050.00
00215,000107500,062.50,20.81,000.00,0,050.00
00216,000108000,063.00,20.81,000.00,0,050.00
00217,000108500,063.00,20.81,000.00,0,050.00
00218,000109000,063.00,20.81,000.00,0,050.00
00219,000109500,063.00,20.81,000.00,0,050.00
00220,000110000,063.75,20.80,000.00,0,050.00
00221,000110500,063.75,20.81,000.00,0,050.00
00222,000111000,063.75,20.81,000.00,0,050.00
00223,000111500,064.00,20.80,000.00,0,050.00
00224,000112000,064.00,20.81,000.00,0,050.00
00225,000112500,064.25,20.81,000.00,0,050.00
00226,000113000,064.25,20.81,000.00,0,050.00
00227,000113500,064.25,20.81,000.00,0,050.00
00228,000114000,064.25,20.81,000.00,0,050.00
00229,000114500,064.75,20.81,000.00,0,050.00
00230,000115000,064.75,20.81,000.00,0,050.00
00231,000115500,065.00,20.81,000.00,0,050.00
00232,000116000,065.00,20.81,000.00,0,050.00
00233,000116500,065.25,20.82,000.00,0,050.00
00234,000117000,065.25,20.82,000.00,0,050.00
00235,000117500,065.25,20.81,000.00,0,050.00
00236,000118000,065.75,20.81,000.00,0,050.00
00237,000118500,065.75,20.81,000.00,0,050.00
00238,000119000,065.75,20.81,000.00,0,050.00
00239,000119500,066.00,20.80,000.00,0,050.00
00240,000120000,066.00,20.81,000.00,0,050.00
00241,000120500,065.75,20.80,000.00,0,050.00
00242,000121000,065.75,20.80,000.00,0,050.00
00243,000121500,065.75,20.82,000.00,0,050.00
00244,000122000,065.75,20.81,000.00,0,050.00
00245,000122500,066.25,20.81,000.00,0,050.00
00246,000123000,066.25,20.81,000.00,0,050.00
00247,000123500,066.50,20.80,000.00,0,050.00
00248,000124000,066.50,20.81,000.00,0,050.00
00249,000124500,066.50,20.82,000.00,0,050.00
00250,000125000,066.50,20.82,000.00,0,050.00
00251,000125500,067.00,20.81,000.00,0,050.00
00252,000126000,066.50,20.81,000.00,0,050.00
00253,000126500,066.50,20.81,000.00,0,050.00
00254,000127000,067.00,20.81,000.00,0,050.00
00255,000127500,066.75,20.81,000.00,0,050.00
00256,000128000,067.00,20.81,000.00,0,050.00
00257,000128500,067.00,20.81,000.00,0,050.00
00258,000129000,067.25,20.81,000.00,0,050.00
00259,000129500,067.25,20.81,000.00,0,050.00
00260,000130000,067.25,20.80,000.00,0,050.00
00261,000130500,067.25,20.80,000.00,0,050.00
00262,000131000,067.75,20.81,000.00,0,050.00
00263,000131500,068.00,20.80,000.00,0,050.00
00264,000132000,068.00,20.81,000.00,0,050.00
00265,000132500,068.00,20.81,000.00,0,050.00
00266,000133000,068.00,20.81,000.00,0,050.00
00267,000133500,068.25,20.81,000.00,0,050.00
00268,000134000,068.50,20.82,000.00,0,050.00
00269,000134500,068.50,20.82,000.00,0,050.00
00270,000135000,068.50,20.82,000.00,0,050.00
00271,000135500,068.00,20.81,000.00,0,050.00
00272,000136000,068.75,20.81,000.00,0,050.00
00273,000136500,068.75,20.81,000.00,0,050.00
00274,000137000,068.75,20.82,000.00,0,050.00
00275,000137500,068.50,20.81,000.00,0,050.00
00276,000138000,069.00,20.82,000.00,0,050.00
00277,000138500,069.00,20.82,000.00,0,050.00
00278,000139000,068.50,20.82,000.00,0,050.00
00279,000139500,069.00,20.81,000.00,0,050.00
00280,000140000,068.25,20.81,000.00,0,050.00
00281,000140500,068.25,20.81,000.00,0,050.00
00282,000141000,069.25,20.81,000.00,0,050.00
00283,000141500,069.00,20.81,000.00,0,050.00
00284,000142000,069.00,20.81,000.00,0,050.00
00285,000142500,069.00,20.81,000.00,0,050.00
00286,000143000,069.50,20.82,000.00,0,050.00
00287,000143500,068.75,20.81,000.00,0,050.00
00288,000144000,068.75,20.81,000.00,0,050.00
00289,000144500,069.00,20.82,000.00,0,050.00
00290,000145000,069.50,20.81,000.00,0,050.00
00291,000145500,069.50,20.82,000.00,0,050.00
00292,000146000,069.50,20.82,000.00,0,050.00
00293,000146500,069.00,20.82,000.00,0,050.00
00294,000147000,069.25,20.82,000.00,0,050.00
00295,000147500,069.25,20.81,000.00,0,050.00
00296,000148000,069.25,20.81,000.00,0,050.00
00297,000148500,070.00,20.80,000.00,0,050.00
00298,000149000,070.00,20.80,000.00,0,050.00
00299,000149500,069.75,20.80,000.00,0,050.00
00300,000150000,069.75,20.80,000.00,0,050.00
00301,000150500,070.00,20.82,000.00,0,050.00
00302,000151000,070.00,20.82,000.00,0,050.00
00303,000151500,070.25,20.81,000.00,0,050.00
00304,000152000,070.25,20.81,000.00,0,050.00
00305,000152500,070.25,20.82,000.00,0,050.00
00306,000153000,070.25,20.82,000.00,0,050.00
00307,000153500,070.00,20.81,000.00,0,050.00
00308,000154000,070.00,20.81,000.00,0,050.00
00309,000154500,070.50,20.82,000.00,0,050.00
00310,000155000,070.50,20.82,000.00,0,050.00
