Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000000,022.75,20.02,100.00,0,050.00
00001,000000500,022.75,20.02,082.26,0,050.00
00002,000001000,022.75,20.03,082.53,0,050.00
00003,000001500,022.75,20.03,082.80,0,050.00
00004,000002000,022.75,20.03,083.08,0,050.00
00005,000002500,022.50,20.02,094.10,0,050.00
00006,000003000,022.50,20.02,084.38,0,050.00
00007,000003500,022.50,20.02,084.65,0,050.00
00008,000004000,022.50,20.04,084.92,0,050.00
00009,000004500,022.50,20.03,085.20,0,050.00
00010,000005000,022.75,20.02,074.72,0,050.00
00011,000005500,022.75,20.02,085.00,0,050.00
00012,000006000,022.75,20.02,085.27,0,050.00
00013,000006500,022.25,20.02,100.00,0,050.00
00014,000007000,022.75,20.03,065.82,0,050.00
00015,000007500,022.75,20.03,086.09,0,050.00
00016,000008000,022.50,20.02,097.11,0,050.00
00017,000008500,022.25,20.02,098.14,0,050.00
00018,000009000,022.75,20.02,066.92,0,050.00
00019,000009500,022.75,20.02,087.19,0,050.00
00020,000010000,022.50,20.03,098.21,0,050.00
00021,000010500,022.50,20.03,088.49,0,050.00
00022,000011000,023.00,20.02,067.26,0,050.00
00023,000011500,023.00,20.02,087.53,0,050.00
00024,000012000,022.75,20.03,098.55,0,050.00
00025,000012500,022.75,20.03,088.82,0,050.00
00026,000013000,022.75,20.03,089.09,0,050.00
00027,000013500,022.75,20.02,089.37,0,050.00
00028,000014000,023.25,20.03,068.14,0,050.00
00029,000014500,022.25,20.03,100.00,0,050.00
00030,000015000,022.25,20.03,091.69,0,050.00
00031,000015500,022.50,20.03,081.22,0,050.00
00032,000016000,023.00,20.03,069.98,0,050.00
00033,000016500,023.25,20.03,079.50,0,050.00
00034,000017000,023.25,20.03,089.77,0,050.00
00035,000017500,023.00,20.03,100.00,0,050.00
00036,000018000,022.75,20.05,100.00,0,050.00
00037,000018500,023.00,20.03,081.33,0,050.00
00038,000019000,023.00,20.03,091.60,0,050.00
00039,000019500,023.50,20.05,070.37,0,050.00
00040,000020000,023.50,20.05,090.63,0,050.00
00041,000020500,023.50,20.04,090.90,0,050.00
00042,000021000,023.50,20.04,091.16,0,050.00
00043,000021500,023.50,20.05,091.43,0,050.00
00044,000022000,024.00,20.05,070.19,0,050.00
00045,000022500,024.25,20.05,079.69,0,050.00
00046,000023000,024.25,20.05,089.95,0,050.00
00047,000023500,024.50,20.05,079.46,0,050.00
00048,000024000,024.25,20.05,100.00,0,050.00
00049,000024500,024.50,20.05,079.97,0,050.00
00050,000025000,024.50,20.05,090.22,0,050.00
00051,000025500,024.75,20.05,079.73,0,050.00
00052,000026000,024.25,20.06,100.00,0,050.00
00053,000026500,025.25,20.03,048.73,0,050.00
00054,000027000,025.25,20.03,088.98,0,050.00
00055,000027500,025.25,20.05,089.23,0,050.00
00056,000028000,025.50,20.05,078.72,0,050.00
00057,000028500,025.50,20.05,088.97,0,050.00
00058,000029000,025.75,20.05,078.46,0,050.00
00059,000029500,025.50,20.06,099.45,0,050.00
00060,000030000,026.00,20.05,068.19,0,050.00
00061,000030500,026.00,20.05,088.44,0,050.00
00062,000031000,026.00,20.05,088.67,0,050.00
00063,000031500,026.50,20.06,067.41,0,050.00
00064,000032000,026.25,20.05,098.40,0,050.00
00065,000032500,026.25,20.05,088.64,0,050.00
00066,000033000,026.50,20.06,078.12,0,050.00
00067,000033500,026.75,20.05,077.60,0,050.00
00068,000034000,027.50,20.04,055.58,0,050.00
00069,000034500,027.50,20.04,085.80,0,050.00
00070,000035000,027.75,20.06,075.28,0,050.00
00071,000035500,027.50,20.05,096.25,0,050.00
00072,000036000,027.75,20.04,075.72,0,050.00
00073,000036500,027.75,20.04,085.94,0,050.00
00074,000037000,027.75,20.05,086.17,0,050.00
00075,000037500,028.50,20.05,054.13,0,050.00
00076,000038000,029.00,20.05,062.84,0,050.00
00077,000038500,029.00,20.05,083.05,0,050.00
00078,000039000,029.00,20.05,083.26,0,050.00
00079,000039500,029.50,20.05,061.97,0,050.00
00080,000040000,029.75,20.04,071.42,0,050.00
00081,000040500,029.75,20.04,081.62,0,050.00
00082,000041000,030.00,20.04,071.07,0,050.00
00083,000041500,030.50,20.05,059.77,0,050.00
00084,000042000,030.75,20.03,069.21,0,050.00
00085,000042500,030.75,20.03,079.40,0,050.00
00086,000043000,030.75,20.03,079.59,0,050.00
00087,000043500,031.25,20.03,058.28,0,050.00
00088,000044000,031.25,20.03,078.47,0,050.00
00089,000044500,031.25,20.03,078.66,0,050.00
00090,000045000,031.50,20.05,068.09,0,050.00
00091,000045500,031.75,20.05,067.53,0,050.00
00092,000046000,031.75,20.05,077.71,0,050.00
00093,000046500,032.25,20.04,056.39,0,050.00
00094,000047000,033.00,20.03,044.31,0,050.00
00095,000047500,032.75,20.03,085.23,0,050.00
00096,000048000,032.75,20.03,075.40,0,050.00
00097,000048500,033.50,20.04,043.31,0,050.00
00098,000049000,033.50,20.04,073.48,0,050.00
00099,000049500,034.00,20.05,052.14,0,050.00
00100,000050000,034.00,20.05,072.30,0,050.00
00101,000050500,034.25,20.05,061.71,0,050.00
00102,000051000,034.50,20.03,061.11,0,050.00
00103,000051500,035.25,20.03,039.01,0,050.00
00104,000052000,035.25,20.03,069.16,0,050.00
00105,000052500,035.75,20.05,047.80,0,050.00
00106,000053000,036.00,20.05,057.19,0,050.00
00107,000053500,036.75,20.03,035.07,0,050.00
00108,000054000,036.75,20.03,065.20,0,050.00
00109,000054500,036.25,20.05,086.84,0,050.00
00110,000055000,037.50,20.05,013.22,0,050.00
