Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000001,008.00,08.67,100.00,0,050.00
00001,000000500,008.00,08.67,100.00,0,050.00
00002,000001000,007.50,08.65,100.00,0,050.00
00003,000001500,007.50,08.65,100.00,0,050.00
00004,000002000,007.50,08.64,100.00,0,050.00
00005,000002500,008.00,08.63,100.00,0,050.00
00006,000003000,008.00,08.63,100.00,0,050.00
00007,000003500,008.00,08.63,100.00,0,050.00
00008,000004000,008.25,08.63,100.00,0,050.00
00009,000004500,007.75,08.61,100.00,0,050.00
00010,000005000,007.75,08.62,100.00,0,050.00
00011,000005500,007.75,08.62,100.00,0,050.00
00012,000006000,007.75,08.64,100.00,0,050.00
00013,000006500,008.25,08.66,100.00,0,050.00
00014,000007000,008.50,08.66,100.00,0,050.00
00015,000007500,008.50,08.66,100.00,0,050.00
00016,000008000,008.25,08.65,100.00,0,050.00
00017,000008500,008.75,08.66,100.00,0,050.00
00018,000009000,008.25,08.66,100.00,0,050.00
00019,000009500,008.25,08.66,100.00,0,050.00
00020,000010000,008.50,08.67,100.00,0,050.00
00021,000010500,008.25,08.68,100.00,0,050.00
00022,000011000,009.00,08.67,100.00,0,050.00
00023,000011500,009.00,08.67,100.00,0,050.00
00024,000012000,009.00,08.67,100.00,0,050.00
00025,000012500,009.25,08.64,100.00,0,050.00
00026,000013000,009.25,08.64,100.00,0,050.00
00027,000013500,009.25,08.63,100.00,0,050.00
00028,000014000,008.75,08.64,100.00,0,050.00
00029,000014500,009.75,08.64,093.21,0,050.00
00030,000015000,009.75,08.64,100.00,0,050.00
00031,000015500,009.50,08.66,100.00,0,050.00
00032,000016000,009.75,08.67,100.00,0,050.00
00033,000016500,010.25,08.67,100.00,0,050.00
00034,000017000,010.25,08.67,100.00,0,050.00
00035,000017500,010.25,08.65,100.00,0,050.00
00036,000018000,010.75,08.66,100.00,0,050.00
00037,000018500,011.50,08.64,100.00,0,050.00
00038,000019000,011.50,08.64,100.00,0,050.00
00039,000019500,011.75,08.64,100.00,0,050.00
00040,000020000,012.00,08.66,100.00,0,050.00
00041,000020500,012.75,08.66,098.91,0,050.00
00042,000021000,012.75,08.66,100.00,0,050.00
00043,000021500,013.25,08.67,100.00,0,050.00
00044,000022000,014.00,08.67,096.26,0,050.00
00045,000022500,014.00,08.67,100.00,0,050.00
00046,000023000,014.00,08.67,100.00,0,050.00
00047,000023500,015.00,08.67,084.33,0,050.00
00048,000024000,015.25,08.69,100.00,0,050.00
00049,000024500,016.25,08.69,081.26,0,050.00
00050,000025000,016.25,08.69,100.00,0,050.00
00051,000025500,016.75,08.69,100.00,0,050.00
00052,000026000,016.50,08.69,100.00,0,050.00
00053,000026500,018.00,08.69,057.34,0,050.00
00054,000027000,018.00,08.69,100.00,0,050.00
00055,000027500,018.25,08.67,100.00,0,050.00
00056,000028000,018.50,08.67,100.00,0,050.00
00057,000028500,018.50,08.67,100.00,0,050.00
00058,000029000,020.00,08.68,052.91,0,050.00
00059,000029500,020.50,08.67,091.70,0,050.00
00060,000030000,021.00,08.67,090.49,0,050.00
00061,000030500,021.00,08.67,100.00,0,050.00
00062,000031000,021.50,08.67,089.56,0,050.00
00063,000031500,021.75,08.66,099.10,0,050.00
00064,000032000,022.75,08.66,066.37,0,050.00
00065,000032500,022.75,08.66,100.00,0,050.00
00066,000033000,023.00,08.67,096.16,0,050.00
00067,000033500,023.50,08.66,084.93,0,050.00
00068,000034000,024.00,08.66,083.69,0,050.00
00069,000034500,024.00,08.66,100.00,0,050.00
00070,000035000,023.50,08.67,100.00,0,050.00
00071,000035500,024.75,08.65,052.22,0,050.00
00072,000036000,025.50,08.65,070.21,0,050.00
