Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000001,021.00,20.50,100.00,0,050.00
00001,000000500,021.00,20.50,087.54,0,050.00
00002,000001000,021.00,20.50,087.83,0,050.00
00003,000001500,020.75,20.50,098.88,0,050.00
00004,000002000,020.75,20.50,089.17,0,050.00
00005,000002500,020.75,20.50,089.46,0,050.00
00006,000003000,020.50,20.50,100.00,0,050.00
00007,000003500,020.50,20.50,090.80,0,050.00
00008,000004000,020.75,20.50,080.34,0,050.00
00009,000004500,020.75,20.50,090.64,0,050.00
00010,000005000,020.75,20.49,090.93,0,050.00
00011,000005500,020.75,20.49,091.22,0,050.00
00012,000006000,020.75,20.49,091.51,0,050.00
00013,000006500,020.75,20.49,091.81,0,050.00
00014,000007000,020.75,20.49,092.10,0,050.00
00015,000007500,020.75,20.49,092.39,0,050.00
00016,000008000,020.75,20.49,092.68,0,050.00
00017,000008500,020.75,20.49,092.97,0,050.00
00018,000009000,083.00,20.50,000.00,0,050.00
00019,000009500,083.00,20.50,000.00,0,050.00
00020,000010000,020.75,20.50,100.00,0,050.00
00021,000010500,020.75,20.50,092.90,0,050.00
00022,000011000,020.75,20.50,093.19,0,050.00
00023,000011500,020.75,20.48,093.48,0,050.00
00024,000012000,020.75,20.48,093.78,0,050.00
00025,000012500,020.50,20.49,100.00,0,050.00
00026,000013000,020.50,20.49,095.12,0,050.00
00027,000013500,041.00,20.49,000.00,0,050.00
00028,000014000,041.00,20.49,033.80,0,050.00
00029,000014500,041.00,20.49,033.89,0,050.00
00030,000015000,020.50,20.49,100.00,0,050.00
00031,000015500,020.50,20.49,095.98,0,050.00
00032,000016000,020.75,20.49,085.52,0,050.00
00033,000016500,020.75,20.49,095.81,0,050.00
00034,000017000,020.75,20.49,096.11,0,050.00
00035,000017500,041.50,20.48,000.00,0,050.00
00036,000018000,041.50,20.48,034.02,0,050.00
00037,000018500,020.25,20.48,100.00,0,050.00
00038,000019000,020.25,20.48,098.37,0,050.00
00039,000019500,020.25,20.48,098.67,0,050.00
00040,000020000,020.50,20.48,088.21,0,050.00
00041,000020500,020.50,20.48,098.51,0,050.00
00042,000021000,020.50,20.48,098.80,0,050.00
00043,000021500,020.50,20.48,099.10,0,050.00
00044,000022000,020.75,20.48,088.64,0,050.00
00045,000022500,020.75,20.48,098.93,0,050.00
00046,000023000,020.75,20.48,099.22,0,050.00
00047,000023500,020.25,20.48,100.00,0,050.00
00048,000024000,020.25,20.48,100.00,0,050.00
00049,000024500,020.75,20.48,080.11,0,050.00
00050,000025000,020.75,20.48,100.00,0,050.00
00051,000025500,020.75,20.48,100.00,0,050.00
00052,000026000,020.75,20.47,100.00,0,050.00
00053,000026500,020.75,20.47,100.00,0,050.00
00054,000027000,020.75,20.48,100.00,0,050.00
00055,000027500,020.75,20.48,100.00,0,050.00
00056,000028000,020.75,20.48,100.00,0,050.00
00057,000028500,020.75,20.48,100.00,0,050.00
00058,000029000,020.75,20.48,100.00,0,050.00
00059,000029500,020.00,20.47,100.00,0,050.00
00060,000030000,020.00,20.47,100.00,0,050.00
00061,000030500,020.50,20.48,084.39,0,050.00
00062,000031000,020.50,20.48,100.00,0,050.00
00063,000031500,020.50,20.48,100.00,0,050.00
00064,000032000,020.50,20.47,100.00,0,050.00
00065,000032500,020.50,20.47,100.00,0,050.00
00066,000033000,020.50,20.48,100.00,0,050.00
00067,000033500,020.50,20.48,100.00,0,050.00
00068,000034000,020.50,20.48,100.00,0,050.00
00069,000034500,020.75,20.47,096.00,0,050.00
00070,000035000,020.75,20.47,100.00,0,050.00
00071,000035500,020.50,20.47,100.00,0,050.00
00072,000036000,020.50,20.47,100.00,0,050.00
00073,000036500,020.50,20.47,100.00,0,050.00
00074,000037000,020.50,20.47,100.00,0,050.00
00075,000037500,020.50,20.47,100.00,0,050.00
00076,000038000,041.00,20.46,000.00,0,050.00
00077,000038500,041.00,20.46,047.20,0,050.00
00078,000039000,020.50,20.47,100.00,0,050.00
00079,000039500,020.50,20.47,100.00,0,050.00
00080,000040000,020.50,20.47,100.00,0,050.00
00081,000040500,020.75,20.47,099.12,0,050.00
00082,000041000,020.75,20.47,100.00,0,050.00
00083,000041500,021.00,20.47,098.95,0,050.00
00084,000042000,021.00,20.47,100.00,0,050.00
00085,000042500,020.50,20.45,100.00,0,050.00
00086,000043000,020.50,20.45,100.00,0,050.00
00087,000043500,020.50,20.45,100.00,0,050.00
00088,000044000,020.75,20.47,100.00,0,050.00
00089,000044500,020.75,20.47,100.00,0,050.00
00090,000045000,020.50,20.46,100.00,0,050.00
00091,000045500,020.50,20.46,100.00,0,050.00
00092,000046000,020.50,20.46,100.00,0,050.00
00093,000046500,020.50,20.47,100.00,0,050.00
00094,000047000,020.50,20.47,100.00,0,050.00
00095,000047500,020.50,20.45,100.00,0,050.00
00096,000048000,020.50,20.45,100.00,0,050.00
00097,000048500,020.50,20.45,100.00,0,050.00
00098,000049000,020.50,20.45,100.00,0,050.00
00099,000049500,020.50,20.45,100.00,0,050.00
00100,000050000,020.50,20.46,100.00,0,050.00
00101,000050500,020.50,20.46,100.00,0,050.00
00102,000051000,021.00,20.47,094.55,0,050.00
00103,000051500,021.00,20.47,100.00,0,050.00
00104,000052000,021.00,20.47,100.00,0,050.00
00105,000052500,020.50,20.45,100.00,0,050.00
00106,000053000,020.50,20.45,100.00,0,050.00
00107,000053500,021.00,20.45,096.00,0,050.00
00108,000054000,021.00,20.45,100.00,0,050.00
00109,000054500,021.00,20.45,100.00,0,050.00
00110,000055000,020.75,20.45,100.00,0,050.00
00111,000055500,020.75,20.45,100.00,0,050.00
00112,000056000,020.50,20.46,100.00,0,050.00
00113,000056500,020.50,20.46,100.00,0,050.00
00114,000057000,020.75,20.45,100.00,0,050.00
00115,000057500,020.75,20.45,100.00,0,050.00
00116,000058000,020.75,20.45,100.00,0,050.00
