Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000002,020.25,14.23,100.00,0,050.00
00001,000000500,020.25,14.23,089.81,0,050.00
00002,000001000,020.25,14.23,090.11,0,050.00
00003,000001500,020.25,14.23,090.40,0,050.00
00004,000002000,018.50,14.25,100.00,0,050.00
00005,000002500,018.50,14.25,096.28,0,050.00
00006,000003000,018.25,14.26,100.00,0,050.00
00007,000003500,018.25,14.26,097.67,0,050.00
00008,000004000,018.75,14.27,076.48,0,050.00
00009,000004500,018.75,14.27,096.79,0,050.00
00010,000005000,018.75,14.27,097.11,0,050.00
00011,000005500,018.75,14.29,097.42,0,050.00
00012,000006000,018.75,14.29,097.73,0,050.00
00013,000006500,019.00,14.30,087.29,0,050.00
00014,000007000,019.00,14.30,097.60,0,050.00
00015,000007500,019.00,14.30,097.91,0,050.00
00016,000008000,018.75,14.31,100.00,0,050.00
00017,000008500,018.75,14.31,099.28,0,050.00
00018,000009000,019.00,14.33,088.84,0,050.00
00019,000009500,019.00,14.33,099.16,0,050.00
00020,000010000,019.25,14.34,088.71,0,050.00
00021,000010500,019.25,14.34,099.02,0,050.00
00022,000011000,019.25,14.34,099.33,0,050.00
00023,000011500,019.25,14.36,099.64,0,050.00
00024,000012000,019.25,14.36,099.94,0,050.00
00025,000012500,019.75,14.37,078.75,0,050.00
00026,000013000,019.75,14.37,099.05,0,050.00
00027,000013500,019.75,14.37,099.35,0,050.00
00028,000014000,020.50,14.38,067.39,0,050.00
00029,000014500,020.50,14.38,097.69,0,050.00
00030,000015000,020.75,14.39,087.23,0,050.00
00031,000015500,020.75,14.39,097.53,0,050.00
00032,000016000,020.75,14.39,097.82,0,050.00
00033,000016500,021.25,14.42,076.61,0,050.00
00034,000017000,021.25,14.42,096.89,0,050.00
00035,000017500,021.50,14.43,086.43,0,050.00
00036,000018000,021.50,14.43,096.71,0,050.00
00037,000018500,021.50,14.42,097.00,0,050.00
00038,000019000,021.50,14.42,097.28,0,050.00
00039,000019500,021.50,14.42,097.57,0,050.00
00040,000020000,022.25,14.44,065.59,0,050.00
00041,000020500,022.25,14.44,095.87,0,050.00
00042,000021000,022.25,14.44,096.15,0,050.00
00043,000021500,022.25,14.44,096.43,0,050.00
00044,000022000,022.25,14.44,096.70,0,050.00
00045,000022500,023.50,14.45,043.22,0,050.00
00046,000023000,023.50,14.45,093.48,0,050.00
00047,000023500,023.50,14.47,093.75,0,050.00
00048,000024000,023.50,14.47,094.02,0,050.00
00049,000024500,023.50,14.46,094.28,0,050.00
00050,000025000,023.50,14.46,094.55,0,050.00
00051,000025500,023.50,14.46,094.81,0,050.00
00052,000026000,025.25,14.46,019.81,0,050.00
00053,000026500,025.25,14.46,090.06,0,050.00
00054,000027000,026.25,14.49,047.29,0,050.00
00055,000027500,026.25,14.49,087.53,0,050.00
00056,000028000,026.25,14.49,087.77,0,050.00
00057,000028500,026.75,14.48,066.50,0,050.00
00058,000029000,026.75,14.48,086.73,0,050.00
00059,000029500,026.50,14.46,097.72,0,050.00
00060,000030000,026.50,14.46,087.95,0,050.00
00061,000030500,026.50,14.46,088.19,0,050.00
00062,000031000,028.50,14.46,002.40,0,050.00
00063,000031500,028.50,14.46,082.62,0,050.00
00064,000032000,028.25,14.48,093.59,0,050.00
00065,000032500,028.25,14.48,083.80,0,050.00
00066,000033000,029.25,14.46,041.01,0,050.00
00067,000033500,029.25,14.46,081.22,0,050.00
00068,000034000,029.25,14.46,081.42,0,050.00
00069,000034500,030.75,14.45,017.12,0,050.00
00070,000035000,030.75,14.45,077.31,0,050.00
00071,000035500,031.25,14.47,056.00,0,050.00
00072,000036000,031.25,14.47,076.19,0,050.00
00073,000036500,031.25,14.47,076.37,0,050.00
00074,000037000,032.25,14.49,033.55,0,050.00
00075,000037500,032.25,14.49,073.73,0,050.00
00076,000038000,032.50,14.48,063.15,0,050.00
00077,000038500,032.50,14.48,073.33,0,050.00
00078,000039000,032.50,14.48,073.50,0,050.00
00079,000039500,032.50,14.47,073.68,0,050.00
00080,000040000,032.50,14.47,073.85,0,050.00
00081,000040500,032.50,14.48,074.03,0,050.00
00082,000041000,032.50,14.48,074.20,0,050.00
00083,000041500,035.25,14.47,000.00,0,050.00
00084,000042000,035.25,14.47,066.25,0,050.00
00085,000042500,035.25,14.47,066.39,0,050.00
00086,000043000,036.25,14.47,023.53,0,050.00
00087,000043500,036.25,14.47,063.67,0,050.00
00088,000044000,037.25,14.49,020.80,0,050.00
00089,000044500,037.25,14.49,060.92,0,050.00
00090,000045000,037.25,14.49,061.05,0,050.00
00091,000045500,038.50,14.46,007.42,0,050.00
00092,000046000,038.50,14.46,057.53,0,050.00
00093,000046500,039.50,14.47,014.64,0,050.00
00094,000047000,039.50,14.47,054.74,0,050.00
00095,000047500,040.25,14.46,022.59,0,050.00
00096,000048000,040.25,14.46,052.69,0,050.00
00097,000048500,040.25,14.46,052.78,0,050.00
00098,000049000,041.50,14.47,000.00,0,050.00
00099,000049500,041.50,14.47,049.20,0,050.00
00100,000050000,042.25,14.46,017.03,0,050.00
00101,000050500,042.25,14.46,047.11,0,050.00
00102,000051000,042.25,14.46,047.19,0,050.00
00103,000051500,043.50,14.44,000.00,0,050.00
00104,000052000,043.50,14.44,043.57,0,050.00
00105,000052500,044.25,14.42,011.38,0,050.00
00106,000053000,044.25,14.42,041.43,0,050.00
00107,000053500,044.25,14.42,041.49,0,050.00
00108,000054000,045.00,14.41,009.29,0,050.00
00109,000054500,045.00,14.41,039.34,0,050.00
00110,000055000,045.00,14.40,039.39,0,050.00
00111,000055500,045.00,14.40,039.44,0,050.00
00112,000056000,045.00,14.39,039.49,0,050.00
00113,000056500,045.00,14.39,039.54,0,050.00
00114,000057000,045.00,14.39,039.59,0,050.00
00115,000057500,047.25,14.37,000.00,0,050.00
00116,000058000,047.25,14.37,032.89,0,050.00
00117,000058500,048.50,14.36,000.00,0,050.00
00118,000059000,048.50,14.36,029.18,0,050.00
00119,000059500,048.50,14.36,029.19,0,050.00
00120,000060000,049.25,14.33,000.00,0,050.00
00121,000060500,049.25,14.33,026.96,0,050.00
00122,000061000,049.75,14.30,005.46,0,050.00
00123,000061500,049.75,14.30,025.46,0,050.00
00124,000062000,050.00,14.30,014.71,0,050.00
00125,000062500,050.00,14.30,024.71,0,050.00
00126,000063000,050.00,14.30,024.71,0,050.00
00127,000063500,050.00,14.27,024.71,0,050.00
00128,000064000,050.00,14.27,024.71,0,050.00
00129,000064500,051.50,14.25,000.00,0,050.00
00130,000065000,051.50,14.25,020.18,0,050.00
00131,000065500,051.50,14.25,020.16,0,050.00
00132,000066000,052.50,14.22,000.00,0,050.00
00133,000066500,052.50,14.22,017.12,0,050.00
00134,000067000,053.00,14.22,000.00,0,050.00
00135,000067500,053.00,14.22,015.55,0,050.00
00136,000068000,053.00,14.22,015.53,0,050.00
00137,000068500,053.25,14.21,004.74,0,050.00
