Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000001,025.50,09.17,100.00,0,050.00
00001,000000500,025.50,09.17,073.95,0,050.00
00002,000001000,025.50,09.17,074.20,0,050.00
00003,000001500,024.75,09.18,100.00,0,050.00
00004,000002000,024.75,09.18,076.95,0,050.00
00005,000002500,024.75,09.18,077.20,0,050.00
00006,000003000,020.50,09.19,100.00,0,050.00
00007,000003500,020.50,09.19,090.55,0,050.00
00008,000004000,020.50,09.19,090.84,0,050.00
00009,000004500,020.50,09.19,091.14,0,050.00
00010,000005000,020.50,09.19,091.43,0,050.00
00011,000005500,020.75,09.20,080.97,0,050.00
00012,000006000,020.75,09.20,091.27,0,050.00
00013,000006500,020.75,09.20,091.56,0,050.00
00014,000007000,020.75,09.20,091.85,0,050.00
00015,000007500,021.50,09.18,059.89,0,050.00
00016,000008000,021.50,09.18,090.17,0,050.00
00017,000008500,021.50,09.18,090.45,0,050.00
00018,000009000,021.25,09.19,100.00,0,050.00
00019,000009500,021.25,09.19,091.78,0,050.00
00020,000010000,020.75,09.20,100.00,0,050.00
00021,000010500,020.75,09.20,093.86,0,050.00
00022,000011000,020.75,09.20,094.16,0,050.00
00023,000011500,022.00,09.19,040.69,0,050.00
00024,000012000,022.00,09.19,090.97,0,050.00
00025,000012500,022.50,09.22,069.74,0,050.00
00026,000013000,022.50,09.22,090.02,0,050.00
00027,000013500,023.25,09.20,058.03,0,050.00
00028,000014000,023.25,09.20,088.30,0,050.00
00029,000014500,023.25,09.20,088.57,0,050.00
00030,000015000,023.50,09.20,078.09,0,050.00
00031,000015500,023.50,09.20,088.35,0,050.00
00032,000016000,023.75,09.21,077.86,0,050.00
00033,000016500,023.75,09.21,088.12,0,050.00
00034,000017000,023.75,09.21,088.39,0,050.00
00035,000017500,024.50,09.17,056.39,0,050.00
00036,000018000,024.50,09.17,086.65,0,050.00
00037,000018500,025.00,09.18,065.40,0,050.00
00038,000019000,025.00,09.18,085.65,0,050.00
00039,000019500,025.00,09.18,085.90,0,050.00
00040,000020000,025.75,09.17,053.89,0,050.00
00041,000020500,025.75,09.17,084.13,0,050.00
00042,000021000,026.50,09.16,052.12,0,050.00
00043,000021500,026.50,09.16,082.35,0,050.00
00044,000022000,026.75,09.18,071.84,0,050.00
00045,000022500,026.75,09.18,082.07,0,050.00
00046,000023000,026.75,09.18,082.30,0,050.00
00047,000023500,028.00,09.18,028.77,0,050.00
00048,000024000,028.00,09.18,078.99,0,050.00
00049,000024500,028.00,09.18,079.21,0,050.00
00050,000025000,028.00,09.18,079.43,0,050.00
00051,000025500,028.00,09.18,079.65,0,050.00
00052,000026000,029.50,09.17,015.36,0,050.00
00053,000026500,029.50,09.17,075.56,0,050.00
00054,000027000,029.50,09.18,075.77,0,050.00
00055,000027500,029.50,09.18,075.97,0,050.00
00056,000028000,030.75,09.17,022.41,0,050.00
00057,000028500,030.75,09.17,072.61,0,050.00
00058,000029000,030.75,09.17,072.80,0,050.00
00059,000029500,031.25,09.19,051.48,0,050.00
00060,000030000,031.25,09.19,071.67,0,050.00
00061,000030500,032.25,09.19,028.85,0,050.00
00062,000031000,032.25,09.19,069.03,0,050.00
00063,000031500,032.25,09.19,069.20,0,050.00
00064,000032000,033.25,09.20,026.37,0,050.00
00065,000032500,033.25,09.20,066.54,0,050.00
00066,000033000,033.75,09.20,045.20,0,050.00
00067,000033500,033.75,09.20,065.37,0,050.00
00068,000034000,033.75,09.20,065.53,0,050.00
00069,000034500,034.75,09.21,022.68,0,050.00
00070,000035000,034.75,09.21,062.83,0,050.00
00071,000035500,035.50,09.21,030.73,0,050.00
00072,000036000,035.50,09.21,060.87,0,050.00
00073,000036500,036.50,09.22,018.01,0,050.00
00074,000037000,036.50,09.22,058.14,0,050.00
00075,000037500,036.50,09.22,058.28,0,050.00
00076,000038000,037.50,09.22,015.40,0,050.00
00077,000038500,037.50,09.22,055.53,0,050.00
00078,000039000,037.75,09.23,044.90,0,050.00
